x1,y1,z1
30.9,-129.75,-891.04
31.65,-130.8,-886.93
29.55,-127.8,-889.35
30.75,-130.8,-892.5
31.2,-132.9,-894.67
31.5,-132.3,-889.83
33.3,-131.1,-885.24
28.2,-130.65,-889.83
29.25,-130.2,-890.08
30.6,-127.95,-887.9
27.75,-132,-892.5
31.5,-132.3,-892.5
30.9,-130.2,-891.04
30.3,-129.9,-891.53
30,-131.1,-888.87
32.7,-129.45,-890.8
28.35,-129.3,-885.96
29.7,-131.1,-894.92
33,-129,-891.29
32.25,-129,-889.59
27.45,-132,-891.53
29.55,-131.25,-889.35
29.7,-129.3,-888.87
30.45,-131.25,-888.14
28.95,-132.6,-891.53
31.5,-130.35,-895.64
31.8,-132.6,-887.66
29.85,-129.45,-893.71
28.5,-129.75,-888.14
29.7,-130.8,-890.56
30.6,-128.7,-890.08
28.35,-130.65,-895.64
30.75,-127.2,-889.59
33.9,-130.8,-884.27
30.75,-131.25,-890.8
29.4,-129.9,-887.9
30.9,-130.65,-890.32
31.2,-131.55,-892.5
30.75,-131.4,-890.56
34.05,-130.05,-889.59
28.95,-131.1,-890.8
29.25,-132.75,-891.53
31.65,-130.05,-887.41
30.75,-132.45,-890.8
30.3,-131.4,-889.59
28.5,-131.85,-886.93
31.05,-129.45,-887.9
33.75,-132.45,-893.46
32.25,-131.1,-894.43
32.55,-129.3,-893.46
28.8,-129.45,-889.83
32.7,-131.55,-887.17
30.45,-132.6,-890.32
29.1,-131.4,-887.66
30.75,-126.6,-890.56
29.85,-130.35,-887.9
32.1,-129.6,-892.01
30.15,-127.65,-887.9
29.4,-128.55,-892.25
31.2,-129.6,-887.9
31.65,-131.85,-892.98
32.4,-129,-886.93
29.55,-130.2,-891.53
31.5,-129.9,-885.96
27.45,-132.3,-888.38
27.9,-126.9,-892.01
30.6,-128.25,-884.99
31.5,-132.3,-890.08
30.45,-129.15,-889.83
31.5,-129.15,-890.56
31.5,-132,-888.62
29.55,-130.35,-887.9
29.4,-132.9,-892.5
29.4,-130.95,-890.56
31.8,-127.2,-893.46
30.15,-131.1,-892.74
29.4,-132.45,-886.45
30.3,-131.25,-892.98
30.9,-130.2,-886.2
30.75,-130.05,-885.48
29.4,-132.75,-892.01
30.15,-131.7,-892.74
30.75,-130.2,-889.35
28.5,-131.55,-888.38
30.6,-129,-889.35
32.1,-131.4,-892.01
30.3,-129.6,-890.56
30.6,-130.95,-893.95
30,-131.7,-892.5
31.95,-132,-889.83
31.05,-128.85,-889.83
29.85,-130.2,-890.8
27.3,-127.95,-890.56
31.2,-129.15,-888.87
29.1,-127.5,-891.53
27,-129.6,-892.5
34.5,-132.6,-885.96
30.6,-131.1,-888.38
33.15,-128.85,-890.32
30.45,-130.5,-889.11
27.45,-129.45,-893.46
31.05,-130.2,-888.62
29.7,-129.9,-891.29
29.55,-130.05,-890.8
27.6,-130.8,-895.4
29.4,-130.5,-888.87
30.15,-130.65,-887.9
31.35,-132.3,-890.08
31.65,-132.3,-888.14
30.6,-125.85,-891.04
28.05,-130.05,-892.5
30.3,-132.15,-889.35
28.65,-129,-889.35
29.1,-129.15,-889.11
30.6,-132.75,-887.41
32.4,-131.85,-891.29
28.65,-130.8,-883.06
35.4,-128.25,-890.32
29.55,-129.9,-890.08
28.35,-130.8,-890.08
29.4,-130.8,-892.5
28.65,-128.55,-888.87
31.05,-130.8,-887.41
31.2,-130.2,-891.77
33,-129,-890.08
31.8,-130.5,-884.51
30.45,-130.8,-888.62
30.9,-128.7,-889.35
29.55,-129.15,-892.5
30,-133.8,-888.62
29.85,-129.75,-897.09
30.6,-128.4,-890.8
31.95,-131.1,-890.8
31.65,-129.3,-887.17
31.8,-128.4,-890.8
32.85,-128.85,-885.24
32.25,-130.8,-891.04
30.15,-132,-889.83
33,-132.3,-888.14
29.25,-130.05,-890.08
30.6,-127.65,-889.35
32.55,-132.45,-892.5
30.6,-132,-891.77
31.2,-130.5,-888.14
30,-132,-892.01
31.95,-130.8,-892.5
30.15,-129.75,-888.87
30.45,-129.6,-889.83
30,-134.25,-889.11
30.15,-130.8,-892.01
31.5,-130.95,-885.96
34.05,-131.85,-889.83
28.65,-128.55,-892.74
