x1,y1,z1
-6.75,-76.35,-972.6
-2.85,-76.05,-970.42
-1.8,-74.25,-974.53
-0.75,-76.5,-973.32
-0.3,-75.3,-971.39
-2.1,-76.2,-973.81
0.9,-75.3,-970.42
-0.75,-70.2,-971.39
-1.65,-75.6,-973.32
-3.3,-76.05,-975.26
-1.2,-74.55,-972.11
-1.5,-74.1,-971.87
-1.5,-75.75,-974.78
-0.45,-73.8,-969.21
-3.45,-74.85,-978.41
-4.05,-74.85,-975.99
-1.95,-72,-974.78
-3,-76.05,-971.15
-0.3,-76.35,-973.08
-1.35,-73.65,-970.42
-2.7,-74.55,-971.39
-1.8,-76.5,-975.02
-3,-75.75,-968.73
-1.35,-74.7,-968.24
-1.35,-74.7,-973.81
-4.8,-72.15,-970.66
-1.65,-77.25,-972.84
-0.75,-75,-972.36
-3.9,-71.7,-973.08
-1.2,-74.4,-973.57
-0.9,-77.85,-968.73
-2.85,-74.55,-972.6
0.3,-74.55,-970.18
0.3,-74.55,-974.29
-3.75,-75.45,-973.08
-1.35,-75.6,-972.11
-2.25,-76.35,-970.66
-1.5,-75.3,-970.42
-4.05,-76.35,-978.41
-4.2,-77.55,-971.15
0,-73.2,-975.26
-1.95,-74.25,-972.6
-0.3,-73.5,-971.87
-1.65,-72.9,-973.08
-1.95,-78,-973.57
1.5,-77.4,-974.05
-1.05,-79.05,-976.71
-1.5,-75.3,-972.36
-3.9,-74.85,-968.48
-2.55,-74.25,-971.63
-0.3,-72.9,-974.78
-3.15,-75.6,-973.08
-3.3,-77.4,-967.52
-2.4,-74.25,-973.32
-5.25,-75.15,-973.08
-0.3,-76.05,-973.08
-2.85,-75.15,-969.45
-0.6,-75.3,-970.18
-2.1,-76.35,-974.53
-1.5,-73.2,-972.84
-0.75,-74.7,-970.66
-1.2,-76.65,-974.29
-2.4,-74.7,-970.66
-1.05,-74.55,-974.29
-3.3,-74.7,-972.84
-0.3,-73.2,-980.1
-2.7,-76.2,-972.11
-1.8,-77.7,-973.57
-0.3,-75.6,-970.66
-4.5,-72.6,-979.86
-3.75,-74.55,-972.11
-0.15,-77.1,-975.5
0.9,-76.05,-974.05
-1.05,-73.5,-974.53
1.95,-74.1,-971.39
-1.5,-76.95,-972.6
-1.65,-76.95,-971.63
-2.7,-75.3,-969.45
-0.45,-76.05,-975.02
-0.45,-75.6,-967.76
2.55,-73.05,-975.02
-4.05,-73.2,-973.08
-2.55,-72.6,-975.5
-1.05,-74.1,-970.9
-1.35,-74.25,-971.39
-2.7,-72.75,-975.26
-4.2,-76.5,-973.08
-2.7,-72,-970.66
-1.05,-75.45,-973.32
0.45,-73.2,-975.02
-1.8,-73.05,-977.44
-5.85,-76.2,-973.57
-2.1,-74.4,-969.69
-2.4,-75.9,-971.63
-3,-76.5,-973.57
-2.1,-75.15,-978.16
0.15,-75.6,-972.11
-2.25,-72.9,-974.29
-2.1,-75.3,-976.47
-1.8,-75.6,-969.94
-2.7,-74.4,-972.6
-4.65,-76.05,-979.13
-0.9,-75.15,-972.11
-2.1,-74.25,-972.36
-3.6,-75.15,-975.74
-0.6,-77.4,-972.84
-2.55,-73.05,-975.26
0.45,-75.6,-971.39
-0.6,-75.9,-971.63
-0.6,-74.85,-974.05
-1.95,-74.55,-974.53
-2.25,-76.2,-973.08
-1.5,-75,-969.69
-1.2,-76.2,-974.05
-1.35,-75.75,-971.39
0,-74.25,-970.9
-2.25,-77.7,-974.78
-1.35,-74.55,-976.23
-4.5,-73.2,-971.87
-2.55,-74.1,-971.63
-1.8,-75.6,-970.9
0.3,-73.8,-973.08
-1.65,-72.9,-974.78
