x1,y1,z1
-112.5,-78.9,-1071.58
-112.2,-78.75,-1073.51
-113.7,-80.7,-1077.87
-111.45,-80.7,-1077.14
-111.75,-79.95,-1074
-109.35,-76.5,-1073.75
-114.15,-79.05,-1075.21
-112.65,-78.45,-1079.8
-112.05,-79.35,-1076.17
-111.45,-78.75,-1079.56
-114,-77.4,-1074.48
-112.35,-78.45,-1080.29
-115.65,-78.3,-1077.63
-111.6,-79.5,-1072.3
-115.05,-79.5,-1073.51
-116.55,-78.9,-1080.77
-114,-76.8,-1074.48
-110.25,-78.9,-1077.63
-112.65,-77.1,-1076.17
-110.85,-81,-1074.48
-112.8,-78.6,-1073.75
-114.45,-77.25,-1075.93
-113.1,-76.8,-1077.38
-110.85,-76.2,-1077.63
-112.2,-78.75,-1079.08
-113.1,-79.65,-1073.51
-111.3,-77.4,-1077.14
-115.5,-79.8,-1072.06
-113.55,-79.65,-1078.59
-112.2,-80.25,-1074.72
-106.05,-77.55,-1075.21
-111.6,-81.3,-1071.09
-113.55,-76.65,-1076.66
-111.9,-78.6,-1072.3
-111.6,-76.8,-1078.59
-114.9,-77.7,-1078.35
-109.65,-78.75,-1074.48
-110.55,-78,-1077.38
-114.45,-80.25,-1079.56
-112.5,-78,-1075.93
-111.9,-76.2,-1075.93
-109.5,-77.55,-1074.48
-111.3,-79.95,-1076.42
-111.6,-78,-1080.53
-115.05,-77.1,-1074.48
-111.75,-79.05,-1076.66
-115.2,-81.15,-1076.66
-109.65,-79.95,-1079.08
-114.3,-76.05,-1075.93
-111,-79.95,-1074.48
-112.5,-78.9,-1076.42
-112.05,-77.1,-1075.69
-110.7,-81,-1074.48
-109.95,-76.65,-1072.79
-112.95,-78.45,-1076.42
-113.7,-77.7,-1073.51
-111.9,-78.45,-1077.63
-112.05,-77.85,-1077.87
-111.15,-80.25,-1078.59
-110.55,-80.4,-1079.56
-113.55,-76.2,-1076.17
-109.95,-80.1,-1075.93
-113.7,-79.5,-1077.63
-114.15,-77.1,-1075.69
-114,-79.5,-1078.11
-112.05,-78.75,-1075.21
-113.7,-76.5,-1076.9
-113.25,-79.5,-1076.42
-110.7,-79.95,-1075.69
-108.3,-76.65,-1074.24
-112.5,-74.85,-1074.24
-111.75,-76.65,-1074.48
-111,-77.55,-1074.72
-114.9,-76.5,-1078.59
-111.45,-79.95,-1074
-113.85,-77.4,-1074
-112.35,-79.05,-1074.24
-113.85,-75.3,-1075.45
-109.65,-76.5,-1078.59
