x1,y1,z1
-60.75,-37.2,-824.74
-60.3,-34.35,-825.95
-60.75,-33.6,-824.25
-56.7,-34.5,-821.59
-58.65,-36.9,-819.41
-58.35,-31.95,-816.75
-59.25,-32.25,-820.62
-59.85,-34.8,-822.32
-61.05,-29.1,-825.7
-60,-30.9,-816.27
-57.9,-31.35,-824.25
-59.7,-34.05,-824.01
-59.7,-33.9,-820.86
-58.2,-37.2,-820.14
-58.5,-35.1,-821.35
-59.1,-34.2,-823.04
-60.6,-34.2,-823.53
-59.1,-37.5,-824.74
-59.7,-36.15,-823.04
-58.65,-30.15,-820.14
-60,-32.85,-822.56
-59.1,-31.5,-820.86
-58.35,-31.35,-816.99
-60.75,-35.1,-823.04
-58.5,-32.7,-820.14
-59.25,-33.45,-822.32
-58.95,-30.6,-820.38
-58.95,-33.3,-823.28
-60.9,-32.85,-822.32
-60,-35.25,-819.41
-60.15,-34.65,-819.41
-58.05,-34.8,-825.7
-58.5,-30.6,-823.53
-59.1,-34.8,-817.23
-58.05,-33,-821.11
-60.6,-35.4,-823.04
-59.4,-32.7,-818.93
-59.7,-33.6,-824.01
-59.85,-32.7,-823.04
-59.25,-32.55,-822.32
-61.8,-33.6,-820.86
-59.85,-35.1,-824.01
-59.7,-36.3,-821.83
-60.15,-33.6,-820.86
-61.05,-38.55,-821.83
-61.5,-32.25,-822.32
-62.85,-33.3,-820.14
-59.55,-32.55,-818.69
-61.65,-34.05,-823.53
-57.3,-33,-819.65
-58.35,-34.5,-822.8
-59.7,-32.55,-821.59
-60.9,-31.5,-823.04
-57.9,-34.05,-822.56
-62.55,-33.3,-822.07
-62.25,-32.85,-821.83
-58.5,-34.35,-818.44
-59.55,-33.75,-820.62
-61.2,-34.8,-823.28
-61.65,-33.15,-821.35
-59.7,-32.1,-822.56
-58.5,-32.7,-824.98
-60.6,-36,-824.25
-60.45,-37.65,-822.07
-58.65,-34.95,-818.2
-58.65,-32.1,-822.8
-62.25,-33.3,-824.25
-59.25,-33.3,-821.59
-59.25,-35.85,-824.74
-60.3,-34.2,-821.11
-58.5,-32.25,-822.07
-61.8,-34.35,-822.32
-61.5,-33.45,-824.25
-61.8,-32.55,-818.44
-58.8,-32.1,-824.74
-58.8,-34.35,-824.74
-61.2,-35.25,-820.14
-60.9,-29.85,-823.28
-60.15,-33.75,-824.49
-61.65,-31.65,-822.56
-58.95,-32.4,-818.44
-58.05,-31.2,-823.04
-60.3,-33.3,-819.65
-60.15,-33.3,-824.01
-59.55,-33.3,-822.8
-59.85,-33.45,-820.38
-58.65,-33.45,-820.86
-60.15,-33.3,-822.07
-57.6,-32.7,-825.46
-58.05,-35.1,-819.9
-60.75,-34.5,-822.07
-60,-30.6,-822.32
-56.55,-31.65,-824.98
-57.75,-35.1,-815.3
-58.8,-34.05,-820.38
-61.35,-37.5,-826.19
-60.75,-34.95,-819.65
-57.15,-33.45,-825.22
-57.3,-33,-826.91
-60.45,-31.05,-818.2
-55.35,-35.85,-822.32
-58.2,-32.25,-821.35
-59.1,-33.6,-820.38
-58.05,-34.65,-825.46
-58.5,-32.4,-821.11
-58.95,-31.2,-820.86
-59.25,-33.3,-823.53
-62.4,-31.35,-820.14
-58.95,-35.25,-822.32
-57.9,-32.55,-818.69
-58.8,-31.35,-822.07
-62.4,-34.8,-820.38
-57.45,-31.2,-819.41
-61.5,-31.35,-821.83
-61.35,-31.2,-821.83
-59.7,-33.9,-821.59
-58.95,-32.7,-824.49
-60.15,-34.5,-824.74
-58.8,-34.05,-822.56
-59.85,-34.65,-821.35
-58.65,-39.15,-826.43
-58.05,-31.05,-826.67
-55.35,-33.45,-817.96
-59.1,-36.15,-819.9
-59.55,-30.45,-822.8
-55.8,-35.55,-821.59
-57.9,-34.65,-823.04
-57.9,-36.45,-820.14
-59.25,-37.35,-824.01
-61.8,-33.3,-821.35
-60.15,-35.85,-825.7
-62.1,-31.8,-824.98
-59.85,-33.15,-820.14
-58.65,-35.4,-819.9
-57.9,-31.35,-822.07
-60.15,-37.65,-823.28
-59.7,-32.7,-822.56
-60.6,-33.9,-822.8
-61.35,-33,-820.14
-58.65,-32.4,-823.77
-58.5,-36.75,-824.01
-57.45,-32.55,-821.11
-61.35,-33.9,-817.96
-61.35,-35.25,-822.07
-58.8,-32.4,-821.59
-58.65,-31.35,-819.65
-59.1,-33.15,-824.49
-58.95,-33.45,-818.2
-58.8,-35.25,-819.41
-58.65,-33.75,-824.01
-60.15,-34.95,-821.83
-60.3,-33.9,-821.11
-62.7,-35.55,-823.53
-57.75,-28.2,-824.25
-59.7,-31.5,-820.62
-59.4,-30.3,-821.59
-58.95,-34.05,-821.11
-57.9,-32.4,-819.65
-63,-33,-823.04
-59.25,-33.75,-826.43
-59.85,-35.25,-822.32
-58.8,-35.7,-819.9
-56.7,-33.6,-824.49
-58.2,-33.9,-822.56
-58.5,-32.7,-822.8
-59.4,-29.7,-820.86
-59.55,-34.8,-823.77
-58.05,-32.55,-821.83
-60.45,-35.85,-821.83
-60.75,-33.75,-824.49
-61.35,-32.1,-818.93
-59.4,-33.3,-822.8
-57.6,-36.45,-822.8
-59.4,-32.25,-823.53
-60.15,-33.45,-818.69
-60.15,-32.85,-818.93
-59.1,-33.15,-821.59
-59.55,-33,-819.41
-59.55,-33.75,-819.17
-60.6,-35.55,-817.23
-59.85,-35.55,-822.8
-61.2,-34.35,-819.41
-58.65,-34.05,-821.59
-60.15,-30.15,-823.28
-61.2,-30.9,-820.14
-60.3,-31.95,-821.59
-59.25,-31.65,-820.38
-58.05,-33,-821.11
-59.55,-32.4,-822.56
-57.15,-34.35,-819.41
-57,-34.5,-821.11
-60.6,-32.85,-820.14
-59.1,-36,-820.14
-60.15,-33,-821.83
-59.4,-31.8,-821.83
-58.05,-33.9,-822.32
-62.1,-30.45,-823.77
-59.7,-35.85,-824.25
-60.9,-35.85,-823.04
-61.8,-31.5,-823.77
-61.8,-31.95,-823.28
-58.65,-33.6,-823.04
-60.9,-34.35,-823.77
-58.95,-33.3,-819.17
-58.65,-33.6,-818.44
-59.25,-32.7,-826.19
-58.95,-31.8,-824.74
-59.4,-33,-823.28
-58.65,-34.2,-820.86
-59.85,-31.65,-822.07
-60.6,-34.2,-821.35
-58.5,-31.65,-825.22
-61.05,-33.6,-821.35
-60,-33.3,-825.22
-60.15,-33.9,-822.07
-58.2,-35.4,-819.65
-60.45,-35.25,-823.77
-59.4,-34.95,-825.46
-58.05,-34.05,-822.8
-62.25,-33.3,-820.62
-57.75,-32.4,-822.07
-57.75,-33.15,-821.83
-59.1,-34.8,-824.74
-57.75,-32.7,-820.62
-58.35,-34.8,-823.28
-58.05,-30,-823.04
-61.5,-33.45,-822.07
-59.55,-32.55,-820.62
-56.55,-34.8,-819.9
-59.85,-32.1,-822.32
-56.55,-32.55,-821.83
-60.9,-35.55,-821.83
-60.9,-34.2,-821.59
-60.9,-33.6,-824.25
-59.1,-34.05,-822.56
-60.75,-31.8,-822.32
-60.45,-36.45,-822.56
-59.1,-34.05,-823.04
-63.15,-30.3,-819.41
-59.1,-32.25,-824.74
-58.65,-32.4,-821.11
-61.5,-35.7,-819.41
-60.75,-32.1,-821.35
-56.55,-35.85,-824.01
-57.15,-34.8,-822.8
-58.65,-34.95,-821.11
-57.15,-34.5,-821.59
-62.85,-36.3,-823.77
-60.3,-37.05,-820.86
-60.3,-32.85,-823.04
-59.55,-31.8,-826.19
-57.3,-34.5,-822.8
-60.9,-32.55,-819.9
-57.9,-35.25,-821.59
-59.25,-33.6,-820.86
-61.8,-35.25,-819.9
-58.35,-34.65,-821.35
-61.2,-34.2,-819.9
-60.3,-32.1,-823.53
-58.8,-35.55,-820.62
-57.3,-34.35,-828.61
-58.2,-33.6,-820.38
-59.4,-33.75,-825.22
-58.95,-33.45,-818.93
-57.9,-32.55,-821.59
-58.8,-33.6,-821.35
-58.95,-31.5,-824.25
-59.85,-36.3,-827.16
-60.75,-34.05,-824.01
-59.25,-34.65,-821.11
-60.45,-32.4,-822.07
-60.6,-32.25,-819.17
-60,-35.25,-820.14
-62.1,-32.4,-819.9
-59.1,-33.6,-819.17
-58.35,-33.9,-820.86
-59.1,-33.15,-823.53
-63.15,-32.7,-821.83
-59.55,-31.65,-822.56
-57.15,-34.05,-821.11
-57.45,-30.6,-819.65
-57.15,-35.55,-820.62
-56.85,-34.65,-823.04
-61.65,-34.95,-823.28
-56.7,-33,-815.54
-60,-37.65,-823.28
-58.95,-31.35,-823.77
-58.5,-33.75,-818.93
-59.55,-33.6,-821.83
-57.75,-31.05,-822.8
-60.15,-34.2,-823.04
-57,-34.95,-824.25
-56.7,-34.35,-825.95
-61.8,-32.1,-821.59
-58.95,-32.4,-823.04
-55.5,-33.45,-824.98
-60.6,-32.85,-820.86
-60.3,-32.1,-819.9
-61.2,-32.55,-817.96
-60.3,-33.75,-825.46
-59.7,-32.85,-821.83
-57,-33.15,-824.98
-61.05,-34.35,-819.9
-57.75,-30.6,-824.01
-59.7,-34.35,-820.62
-58.5,-33.3,-823.53
-56.4,-32.7,-822.56
-57.6,-33.3,-821.59
-61.35,-31.35,-823.04
-55.65,-32.4,-818.69
-60,-33.9,-819.41
-58.8,-34.2,-820.38
-62.85,-34.05,-820.86
-57.9,-34.95,-821.35
-57.75,-34.8,-823.77
-58.95,-33.15,-821.35
-59.7,-32.1,-820.86
-61.05,-34.5,-821.83
-58.35,-33.3,-821.11
-58.35,-30.6,-822.07
-57.9,-31.95,-823.04
-61.35,-33,-816.51
-55.95,-33.3,-824.49
-59.1,-32.85,-818.2
-62.4,-35.7,-824.01
-60.9,-32.25,-824.01
-58.5,-32.85,-823.53
-59.85,-30.3,-821.11
-59.7,-31.2,-824.49
-59.4,-34.35,-819.17
-60.45,-34.05,-825.95
-57.45,-37.5,-822.8
-58.8,-33.15,-822.32
-58.35,-33.75,-823.77
-63.6,-37.05,-820.14
-61.35,-31.5,-816.27
-60.15,-33.9,-822.32
-58.95,-32.4,-821.59
-56.55,-33.9,-826.43
-58.05,-32.25,-821.83
-60.75,-32.85,-821.83
-59.1,-35.55,-821.35
-57.75,-35.4,-821.83
-58.95,-34.5,-820.62
-60.3,-34.05,-818.69
-62.55,-35.55,-817.23
-59.7,-32.25,-822.07
-62.4,-33.15,-822.07
-58.5,-31.8,-822.8
-58.2,-35.85,-820.86
-60.9,-33.6,-823.53
-60.75,-33.45,-821.35
-57.75,-35.55,-821.83
-57.45,-32.25,-827.4
-58.8,-35.1,-822.07
-56.1,-33.3,-823.04
-58.5,-33.9,-819.17
-58.8,-34.95,-821.59
-58.95,-33.9,-821.83
-59.55,-35.85,-820.86
-58.2,-36.75,-820.86
-61.2,-33,-823.04
-60.6,-31.65,-824.25
-57.6,-34.65,-823.04
-58.95,-36,-821.59
-58.5,-36.45,-821.59
-60.45,-32.7,-825.46
-60.45,-36,-818.44
-57.6,-34.05,-819.9
-58.95,-34.95,-821.83
-57.9,-34.05,-823.53
-58.35,-32.4,-824.74
-60.6,-32.7,-818.93
-58.2,-34.2,-821.11
-60.9,-29.7,-819.65
-61.5,-33.75,-819.65
-58.65,-33,-822.56
-60.9,-34.5,-820.38
-58.95,-35.25,-816.75
-60.6,-32.7,-824.01
-58.65,-32.25,-821.59
-60,-29.85,-820.62
-61.2,-31.65,-822.8
-60.6,-34.2,-819.41
-57.15,-34.65,-824.98
-57.6,-31.35,-818.2
-56.7,-30.9,-822.8
-59.25,-34.2,-823.28
-60.15,-34.65,-818.44
-62.1,-32.1,-823.04
-58.65,-33.6,-820.62
-60.45,-34.2,-821.59
-60.3,-34.35,-816.27
-56.85,-33.3,-821.59
-58.8,-34.8,-824.98
-59.85,-32.7,-821.35
-57.3,-33.3,-825.22
-60.3,-34.2,-824.74
-58.35,-32.25,-820.86
-60.15,-33.75,-821.35
-59.25,-35.7,-819.65
-57.6,-30.6,-825.95
-60.15,-31.05,-821.59
-60.3,-31.8,-822.8
-58.8,-30,-819.9
-59.1,-32.7,-825.46
-58.5,-32.4,-822.56
-57.15,-33,-820.38
-56.7,-33,-822.56
-60.9,-33.45,-826.43
-59.85,-33.3,-818.69
-59.55,-35.4,-824.25
-58.95,-34.2,-825.95
-59.55,-32.4,-817.96
-60.9,-31.65,-822.8
-60,-31.65,-825.22
-61.8,-31.05,-821.11
-60.15,-35.55,-817.48
-57.75,-31.8,-819.9
-60.75,-34.2,-821.83
-59.25,-35.1,-823.04
-59.4,-31.2,-822.8
-59.25,-32.85,-823.77
,,-821.9360993
