x1,y1,z1
149.4,22.8,7010.26
151.8,22.95,7009.05
150.15,23.7,7009.77
152.55,22.35,7008.32
154.5,23.7,7012.92
150,24,7009.29
150.9,26.55,7009.77
150.3,23.85,7013.89
149.1,22.35,7006.14
150.6,23.85,7007.11
150.6,22.5,7007.84
148.95,24.9,7010.5
152.55,27.9,7008.8
149.55,24.45,7010.26
148.5,27.3,7013.16
151.2,22.2,7008.08
151.5,22.95,7007.11
151.65,24.3,7011.22
151.2,26.4,7014.13
148.2,24.75,7007.11
151.05,26.1,7010.74
150.9,25.2,7009.05
150.6,22.5,7011.47
151.05,26.25,7010.26
151.8,25.65,7008.32
147.6,26.55,7008.8
150.15,27.45,7012.19
151.5,25.5,7011.71
149.85,25.2,7010.74
153.9,22.65,7012.92
149.7,26.1,7006.63
151.05,23.25,7008.32
151.35,27.45,7010.26
149.85,25.2,7003.24
152.25,22.05,7006.38
156,24.3,7006.87
148.05,23.1,7009.05
152.55,27.3,7010.74
151.2,23.4,7010.26
149.85,25.2,7010.98
148.95,25.5,7015.34
149.85,24.15,7014.13
153.3,24.9,7008.32
150,22.2,7007.84
149.7,22.95,7005.9
149.7,24.3,7013.64
150,25.5,7013.4
150.6,24.45,7014.85
151.2,24.9,7010.01
152.4,23.55,7007.11
150,24.3,7011.47
152.25,22.95,7010.98
153.15,23.7,7010.98
152.1,26.85,7009.53
150.6,25.5,7012.92
153.45,24.15,7008.8
149.7,24.45,7006.38
150.6,25.35,7015.1
151.95,24.6,7012.68
152.1,27,7008.56
148.35,25.65,7007.35
151.35,25.2,7011.47
149.85,25.8,7009.77
153.75,23.4,7010.74
150.75,24.75,7011.22
148.8,24.75,7012.68
151.8,24.45,7009.53
153.9,23.25,7011.71
149.7,25.95,7010.5
151.05,25.05,7007.59
148.8,24,7005.9
151.95,24.15,7005.66
146.7,24.9,7010.01
152.1,22.35,7008.08
148.2,23.85,7010.01
150.75,22.35,7010.5
152.85,27.3,7006.63
151.2,25.8,7004.69
149.1,25.05,7009.05
150.9,25.05,7012.92
148.5,23.25,7010.74
153,24.15,7010.5
150.3,23.4,7007.84
148.2,23.55,7010.5
150.6,21.75,7010.26
152.25,23.55,7007.35
