epoch_ms,t_ms,Bx_uT,By_uT,Bz_uT,dBx_uT,dBy_uT,dBz_uT,Fx_N,Fy_N,Fz_N
1783675897902,957,18.90,4.50,147.38,-0.7110,0.3060,-3.5045,0.00471,0.00193,0.18042
1783675897961,1016,19.35,4.80,147.86,-0.2610,0.6060,-3.0245,0.00491,0.00090,0.16114
1783675897961,1016,19.20,4.05,149.31,-0.4110,-0.1440,-1.5745,0.00197,0.00163,0.08248
1783675897961,1016,19.80,1.35,151.25,0.1890,-2.8440,0.3655,0.00097,0.00810,0.02600
1783675897962,1017,19.05,4.20,146.65,-0.5610,0.0060,-4.2345,0.00667,0.00360,0.23221
1783675898021,1076,21.45,6.90,151.73,1.8390,2.7060,0.8455,0.00239,-0.00746,0.00000
1783675898021,1076,19.65,1.95,144.96,0.0390,-2.2440,-5.9245,0.01255,0.01218,0.38251
1783675898021,1076,19.80,4.05,148.59,0.1890,-0.1440,-2.2945,0.00505,0.00272,0.14263
1783675898021,1076,19.05,5.10,152.70,-0.5610,0.9060,1.8155,-0.00547,-0.00475,0.00000
1783675898080,1135,19.95,1.35,152.22,0.3390,-2.8440,1.3355,-0.00049,0.00729,0.00000
1783675898080,1135,17.85,3.60,149.80,-1.7610,-0.5940,-1.0845,-0.00257,0.00156,0.02021
1783675898081,1136,19.05,3.30,151.98,-0.5610,-0.8940,1.0955,-0.00333,0.00120,0.00000
1783675898140,1195,17.25,4.35,152.94,-2.3610,0.1560,2.0555,-0.01066,-0.00401,0.00000
1783675898140,1195,17.70,6.30,148.59,-1.9110,2.1060,-2.2945,-0.00173,-0.00530,0.04714
1783675898141,1196,17.40,6.15,152.22,-2.2110,1.9560,1.3355,-0.00957,-0.00849,0.00000
1783675898141,1196,19.65,3.60,149.56,0.0390,-0.5940,-1.3245,0.00293,0.00301,0.08778
1783675898201,1256,17.85,4.95,147.86,-1.7610,0.7560,-3.0245,0.00066,-0.00056,0.11439
1783675898201,1256,19.35,4.95,152.46,-0.2610,0.7560,1.5755,-0.00410,-0.00388,0.00000
1783675898201,1256,18.00,4.20,148.83,-1.6110,0.0060,-2.0545,-0.00051,0.00082,0.07286
1783675898201,1256,19.80,4.95,152.46,0.1890,0.7560,1.5755,-0.00284,-0.00357,0.00000
1783675898262,1317,16.50,3.75,151.49,-3.1110,-0.4440,0.6055,-0.00969,-0.00140,0.00000
1783675898262,1317,20.55,4.50,153.67,0.9390,0.3060,2.7855,-0.00292,-0.00288,0.00000
1783675898262,1317,18.60,3.15,152.70,-1.0110,-1.0440,1.8155,-0.00593,0.00065,0.00000
1783675898263,1318,20.10,5.85,152.94,0.4890,1.6560,2.0555,-0.00331,-0.00645,0.00000
1783675898320,1375,18.75,4.95,153.19,-0.8610,0.7560,2.3055,-0.00720,-0.00498,0.00000
1783675898320,1375,17.70,3.30,151.25,-1.9110,-0.8940,0.3655,-0.00569,0.00096,0.00000
1783675898380,1435,18.60,6.15,149.07,-1.0110,1.9560,-1.8145,-0.00009,-0.00470,0.04785
1783675898380,1435,20.40,4.20,147.14,0.7890,0.0060,-3.7445,0.00948,0.00406,0.24349
1783675898381,1436,19.95,1.50,155.85,0.3390,-2.6940,4.9655,-0.00761,0.00342,0.00000
1783675898381,1436,18.60,4.50,148.83,-1.0110,0.3060,-2.0545,0.00105,0.00035,0.08626
1783675898382,1437,19.20,2.70,151.49,-0.4110,-1.4940,0.6055,-0.00172,0.00352,0.00000
1783675898440,1495,19.65,5.55,148.35,0.0390,1.3560,-2.5345,0.00449,-0.00155,0.13020
1783675898440,1495,19.50,3.45,156.09,-0.1110,-0.7440,5.2055,-0.01013,-0.00281,0.00000
1783675898441,1496,18.15,3.75,150.04,-1.4610,-0.4440,-0.8445,-0.00226,0.00110,0.01280
1783675898441,1496,19.80,5.10,149.80,0.1890,0.9060,-1.0845,0.00227,-0.00150,0.05603
1783675898500,1555,22.50,8.55,148.35,2.8890,4.3560,-2.5345,0.01123,-0.00838,0.17066
1783675898500,1555,20.10,2.25,153.19,0.4890,-1.9440,2.3055,-0.00233,0.00384,0.00000
1783675898501,1556,17.85,5.25,147.14,-1.7610,1.0560,-3.7445,0.00193,-0.00076,0.15230
1783675898502,1557,19.35,4.05,151.49,-0.2610,-0.1440,0.6055,-0.00185,-0.00033,0.00000
1783675898561,1616,16.20,3.30,153.67,-3.4110,-0.8940,2.7855,-0.01458,-0.00234,0.00000
1783675898561,1616,19.35,2.25,153.43,-0.2610,-1.9440,2.5455,-0.00489,0.00311,0.00000
1783675898561,1616,18.90,4.20,153.43,-0.7110,0.0060,2.5455,-0.00694,-0.00291,0.00000
1783675898620,1675,18.45,5.70,145.68,-1.1610,1.5060,-5.2045,0.00627,-0.00028,0.24933
1783675898621,1676,16.65,2.25,153.43,-2.9610,-1.9440,2.5455,-0.01243,0.00126,0.00000
1783675898740,1795,19.50,4.80,151.98,-0.1110,0.6060,1.0955,-0.00269,-0.00288,0.00000
1783675898740,1795,18.60,3.75,151.25,-1.0110,-0.4440,0.3655,-0.00335,0.00026,0.00000
1783675898741,1796,19.35,3.45,151.98,-0.2610,-0.7440,1.0955,-0.00256,0.00096,0.00000
1783675898741,1796,19.05,5.40,148.59,-0.5610,1.2060,-2.2945,0.00240,-0.00174,0.10048
1783675898742,1797,17.85,7.05,149.31,-1.7610,2.8560,-1.5745,-0.00302,-0.00807,0.00000
1783675898742,1797,17.40,3.30,150.77,-2.2110,-0.8940,-0.1145,-0.00559,0.00121,0.00000
1783675898743,1798,20.25,6.00,154.64,0.6390,1.8060,3.7555,-0.00625,-0.00839,0.00000
1783675898743,1798,20.25,3.60,151.73,0.6390,-0.5940,0.8455,0.00038,0.00138,0.00000
1783675898744,1799,17.85,1.50,151.01,-1.7610,-2.6940,0.1255,-0.00407,0.00656,0.00000
1783675898744,1799,19.35,4.05,151.73,-0.2610,-0.1440,0.8455,-0.00231,-0.00056,0.00000
1783675898860,1915,15.90,2.25,151.25,-3.7110,-1.9440,0.3655,-0.01029,0.00281,0.00000
1783675898860,1915,22.20,2.70,149.80,2.5890,-1.4940,-1.0845,0.00995,0.00716,0.16265
1783675898861,1916,17.25,0.90,153.19,-2.3610,-3.2940,2.3055,-0.00974,0.00585,0.00000
1783675898861,1916,17.10,5.40,150.77,-2.5110,1.2060,-0.1145,-0.00728,-0.00513,0.00000
1783675898862,1917,21.45,3.45,153.19,1.8390,-0.7440,2.3055,0.00096,0.00126,0.00000
1783675898862,1917,17.55,2.70,148.10,-2.0610,-1.4940,-2.7845,0.00027,0.00559,0.12450
1783675898862,1917,21.00,5.40,150.28,1.3890,1.2060,-0.6045,0.00457,-0.00201,0.05903
1783675898921,1976,18.60,6.75,150.52,-1.0110,2.5560,-0.3645,-0.00316,-0.00782,0.00000
1783675898921,1976,17.40,5.70,150.77,-2.2110,1.5060,-0.1145,-0.00657,-0.00581,0.00000
1783675898921,1976,20.10,4.95,148.83,0.4890,0.7560,-2.0545,0.00505,0.00006,0.12418
1783675898922,1977,19.35,4.65,147.38,-0.2610,0.4560,-3.5045,0.00590,0.00180,0.19157
1783675899040,2095,17.10,8.55,148.83,-2.5110,4.3560,-2.0545,-0.00479,-0.01252,0.00000
1783675899041,2096,19.80,4.65,148.83,0.1890,0.4560,-2.0545,0.00434,0.00073,0.11969
1783675899041,2096,21.00,2.55,151.98,1.3890,-1.6440,1.0955,0.00242,0.00472,0.00105
1783675899041,2096,17.25,4.50,152.94,-2.3610,0.3060,2.0555,-0.01072,-0.00445,0.00000
1783675899042,2097,18.00,4.05,149.31,-1.6110,-0.1440,-1.5745,-0.00138,0.00081,0.04685
1783675899042,2098,19.20,1.35,150.28,-0.4110,-2.8440,-0.6045,0.00119,0.00861,0.06521
1783675899043,2098,20.25,3.45,151.73,0.6390,-0.7440,0.8455,0.00044,0.00181,0.00000
