epoch_ms,t_ms,Bx_uT,By_uT,Bz_uT,dBx_uT,dBy_uT,dBz_uT,Fx_N,Fy_N,Fz_N
1783677521323,15,6.15,-37.35,85.43,-1.9275,-0.0030,-0.6565,-0.00411,-0.00069,0.00000
1783677521324,16,7.65,-38.40,84.70,-0.4275,-1.0530,-1.3865,0.00193,0.00410,0.08432
1783677521325,17,6.15,-33.90,86.64,-1.9275,3.4470,0.5535,-0.00786,-0.01192,0.00000
1783677521325,17,8.70,-38.40,86.64,0.6225,-1.0530,0.5535,0.00109,0.00298,0.00145
1783677521382,74,9.15,-38.55,86.88,1.0725,-1.2030,0.7935,0.00194,0.00350,0.00291
1783677521383,75,9.60,-34.20,86.39,1.5225,3.1470,0.3035,0.00238,-0.00845,0.00000
1783677521383,75,7.65,-37.65,87.12,-0.4275,-0.3030,1.0335,-0.00308,-0.00038,0.00000
1783677521383,75,9.45,-36.15,86.64,1.3725,1.1970,0.5535,0.00227,-0.00309,0.00000
1783677521443,135,8.10,-40.05,84.70,0.0225,-2.7030,-1.3865,0.00386,0.00923,0.12198
1783677521443,135,9.45,-33.90,84.46,1.3725,3.4470,-1.6265,0.00559,-0.00761,0.08563
1783677521443,135,8.25,-37.80,88.81,0.1725,-0.4530,2.7235,-0.00463,-0.00113,0.00000
1783677521503,195,10.35,-36.15,85.67,2.2725,1.1970,-0.4165,0.00667,-0.00156,0.07435
1783677521503,195,8.25,-37.35,88.09,0.1725,-0.0030,2.0035,-0.00341,-0.00176,0.00000
1783677521504,196,8.10,-34.65,84.94,0.0225,2.6970,-1.1465,0.00119,-0.00679,0.02836
1783677521504,196,8.55,-34.95,84.22,0.4725,2.3970,-1.8665,0.00397,-0.00493,0.08847
1783677521563,255,6.75,-39.45,85.91,-1.3275,-2.1030,-0.1765,-0.00251,0.00541,0.00192
1783677521563,255,9.75,-37.95,83.97,1.6725,-0.6030,-2.1165,0.00903,0.00490,0.18298
1783677521563,255,10.20,-37.95,85.67,2.1225,-0.6030,-0.4165,0.00698,0.00361,0.09640
1783677521564,256,9.45,-38.10,88.09,1.3725,-0.7530,2.0035,0.00024,0.00125,0.00000
1783677521622,314,7.05,-39.30,88.33,-1.0275,-1.9530,2.2435,-0.00644,0.00289,0.00000
1783677521623,315,8.55,-38.55,84.46,0.4725,-1.2030,-1.6265,0.00497,0.00538,0.12737
1783677521623,315,9.00,-37.65,83.73,0.9225,-0.3030,-2.3565,0.00728,0.00374,0.17040
1783677521623,315,7.95,-36.45,86.64,-0.1275,0.8970,0.5535,-0.00180,-0.00323,0.00000
1783677521683,375,6.45,-36.90,88.09,-1.6275,0.4470,2.0035,-0.00863,-0.00431,0.00000
1783677521683,375,10.95,-38.25,88.09,2.8725,-0.9030,2.0035,0.00450,0.00271,0.00000
1783677521683,375,10.80,-36.45,86.39,2.7225,0.8970,0.3035,0.00665,-0.00105,0.04980
1783677521742,434,9.15,-36.30,87.60,1.0725,1.0470,1.5135,-0.00037,-0.00376,0.00000
1783677521742,434,9.30,-38.10,82.76,1.2225,-0.7530,-3.3265,0.01019,0.00618,0.24296
1783677521743,435,7.95,-36.30,82.04,-0.1275,1.0470,-4.0465,0.00709,0.00067,0.21870
1783677521743,435,9.30,-35.70,84.46,1.2225,1.6470,-1.6265,0.00591,-0.00245,0.10768
1783677521802,494,8.70,-37.95,87.85,0.6225,-0.6030,1.7635,-0.00145,0.00052,0.00000
1783677521803,495,7.50,-38.10,82.04,-0.5775,-0.7530,-4.0465,0.00656,0.00563,0.23184
1783677521803,495,5.40,-39.00,88.57,-2.6775,-1.6530,2.4835,-0.01164,0.00066,0.00000
1783677521803,495,7.20,-33.90,85.91,-0.8775,3.4470,-0.1765,-0.00351,-0.01052,0.00000
