x1,y1,z1
55.5,-154.95,-2577.3
55.05,-147.75,-2598.11
47.55,-148.2,-2579.24
52.35,-153.45,-2602.71
47.85,-158.55,-2594.48
46.35,-145.95,-2598.35
45.3,-142.65,-2584.32
42.9,-154.2,-2587.95
49.2,-159.9,-2599.56
40.5,-156,-2601.26
48.9,-147.3,-2593.03
38.1,-151.35,-2578.51
50.4,-164.1,-2590.85
41.85,-154.5,-2588.43
32.25,-145.8,-2592.06
48,-144.15,-2600.05
49.35,-156.75,-2602.23
44.1,-157.35,-2603.92
40.95,-154.95,-2588.43
31.35,-153.45,-2592.79
44.1,-152.4,-2594
44.4,-137.1,-2596.66
51.9,-153.45,-2598.11
49.95,-149.4,-2581.41
37.8,-145.35,-2595.69
38.4,-148.05,-2587.22
46.35,-153.3,-2586.25
50.1,-152.7,-2579.48
41.7,-155.55,-2597.14
53.4,-148.35,-2584.56
39.3,-154.8,-2577.78
51.15,-154.05,-2593.03
51,-151.05,-2600.77
43.65,-159,-2579.48
42.45,-152.85,-2600.53
40.05,-151.35,-2574.88
40.5,-149.55,-2592.3
47.4,-147.6,-2578.99
47.4,-163.65,-2584.08
44.85,-149.1,-2594.48
44.1,-148.95,-2608.52
35.7,-150,-2602.23
45.15,-157.95,-2602.23
42,-156.3,-2600.77
39.3,-150.3,-2601.5
40.2,-151.35,-2593.76
52.8,-152.85,-2587.46
42.3,-156.45,-2590.37
39.15,-156.75,-2573.43
50.7,-152.85,-2593.27
49.8,-153.6,-2583.11
42.6,-158.1,-2585.77
52.2,-159.3,-2586.25
52.8,-149.85,-2589.16
48.15,-159.45,-2585.04
41.1,-159.9,-2599.56
42.75,-163.05,-2602.71
44.85,-155.25,-2588.43
41.7,-153,-2576.57
49.2,-156.3,-2597.87
50.1,-157.95,-2591.82
48.75,-158.1,-2611.42
45.9,-134.7,-2599.08
39.75,-154.35,-2596.9
47.7,-160.05,-2590.37
35.7,-161.55,-2599.32
49.35,-145.5,-2589.64
52.35,-152.55,-2589.16
48,-156.45,-2594.97
42.9,-156.15,-2596.42
45,-148.35,-2595.69
50.85,-156,-2588.43
45.9,-151.05,-2597.63
50.1,-152.7,-2596.18
49.05,-156.45,-2602.71
43.8,-153.6,-2587.71
58.05,-151.5,-2595.93
49.05,-156.6,-2601.74
46.65,-153,-2598.11
38.7,-153.9,-2599.32
42.15,-153.75,-2594.48
46.35,-150.3,-2602.47
39.45,-158.85,-2589.64
44.25,-159.75,-2588.19
47.4,-157.95,-2593.76
39.75,-154.05,-2585.29
42.45,-152.1,-2602.23
38.1,-154.35,-2591.09
48.45,-155.4,-2585.53
46.8,-153.45,-2599.81
44.7,-160.65,-2614.57
46.35,-148.65,-2607.31
39.75,-151.05,-2600.29
47.55,-149.55,-2597.14
41.55,-157.5,-2609.24
43.2,-151.35,-2578.27
50.85,-159.9,-2589.4
53.7,-160.2,-2587.71
47.7,-151.65,-2585.53
43.8,-158.4,-2585.53
52.65,-160.35,-2590.13
46.65,-156.75,-2599.32
41.55,-150.15,-2594.48
28.95,-157.95,-2589.64
55.05,-141.75,-2567.38
40.65,-156.75,-2596.9
49.2,-148.5,-2585.53
57.75,-149.4,-2594.72
39.9,-162,-2587.46
40.95,-151.35,-2591.09
50.55,-155.4,-2601.98
34.35,-153.45,-2588.19
55.05,-139.65,-2597.87
48.15,-163.35,-2599.08
42.75,-159,-2592.3
37.8,-158.85,-2604.4
42.15,-154.95,-2592.79
51,-151.2,-2612.39
49.05,-153.3,-2595.69
48,-152.55,-2592.79
52.95,-153.6,-2588.43
49.35,-143.4,-2589.88
50.55,-156.6,-2591.82
37.35,-151.8,-2593.76
43.65,-153,-2595.93
52.5,-160.05,-2594
56.85,-160.2,-2595.45
51.9,-159.3,-2598.11
52.8,-148.5,-2600.05
42,-158.55,-2594
42.6,-150.15,-2596.42
54.3,-160.95,-2604.4
43.95,-150.9,-2593.51
48.6,-144,-2600.53
43.8,-154.5,-2586.74
37.95,-157.95,-2592.55
44.55,-159.45,-2588.19
46.35,-161.1,-2586.74
42.9,-156.75,-2600.29
45.9,-158.7,-2600.29
43.05,-145.5,-2605.61
53.4,-153.3,-2600.29
43.05,-162,-2594.48
53.7,-147.3,-2586.98
37.8,-154.65,-2609.97
41.1,-161.85,-2597.39
51,-155.55,-2588.92
48.9,-153.45,-2591.82
35.85,-157.5,-2586.74
47.4,-159,-2599.32
46.95,-151.8,-2590.85
46.8,-162.15,-2591.82
44.7,-153.9,-2594.48
43.65,-156.75,-2608.28
48,-159.75,-2587.95
41.4,-156.45,-2593.27
49.95,-150.3,-2574.88
48.15,-159,-2584.8
36.6,-151.2,-2579.24
50.7,-152.25,-2579.96
46.2,-155.1,-2589.16
51.15,-157.35,-2568.1
47.55,-151.8,-2600.77
46.8,-167.85,-2591.58
51,-151.8,-2609.73
51.75,-167.4,-2598.84
41.1,-157.65,-2598.35
46.35,-154.35,-2595.45
37.8,-157.65,-2600.53
32.4,-151.5,-2597.87
48.9,-160.35,-2585.04
46.8,-155.25,-2597.14
46.5,-150.45,-2582.14
46.65,-156,-2591.09
45.75,-156,-2600.77
49.05,-168,-2581.9
39.15,-157.2,-2596.18
51,-160.65,-2597.63
38.1,-156,-2585.29
34.95,-161.85,-2597.63
33.6,-160.05,-2581.41
53.1,-148.65,-2599.32
37.2,-155.55,-2593.03
47.25,-159.9,-2597.87
44.4,-144.75,-2582.62
46.5,-158.1,-2602.71
47.85,-163.35,-2590.85
43.35,-156.6,-2593.76
54.3,-155.7,-2590.85
49.05,-156.9,-2599.56
40.65,-159.75,-2590.13
43.2,-157.2,-2585.29
46.65,-155.25,-2606.1
38.85,-162.6,-2596.18
41.4,-155.25,-2593.51
37.5,-156.75,-2596.18
41.7,-162.75,-2579.48
39.15,-153.3,-2588.43
40.2,-154.5,-2609.24
43.05,-153.9,-2596.9
44.1,-160.95,-2603.44
41.25,-148.5,-2585.04
45.6,-157.65,-2600.53
45.75,-161.4,-2592.79
42.3,-152.7,-2591.82
43.5,-144,-2588.19
45.75,-157.05,-2591.09
43.8,-161.4,-2594.72
32.7,-157.2,-2584.32
43.65,-162.15,-2599.32
41.1,-148.05,-2582.14
56.7,-171.6,-2599.32
50.4,-154.2,-2593.27
45.75,-159.45,-2593.03
40.65,-149.7,-2591.34
37.2,-153.9,-2587.22
37.2,-164.25,-2598.84
49.05,-162.6,-2594.97
49.05,-155.1,-2579.96
42.3,-158.4,-2581.17
41.55,-159.6,-2591.82
49.05,-162.15,-2603.92
50.25,-152.7,-2601.74
48.9,-145.2,-2583.35
42.75,-160.35,-2609.97
41.55,-146.1,-2586.74
46.2,-156.3,-2595.69
36.9,-160.2,-2616.02
51.45,-146.55,-2602.23
46.2,-171.75,-2599.56
37.35,-155.7,-2588.43
44.85,-155.4,-2591.82
34.8,-145.05,-2598.11
57.75,-154.2,-2592.06
40.5,-155.4,-2591.09
41.25,-157.95,-2586.5
41.55,-153.75,-2592.55
50.7,-150.15,-2593.27
48.15,-156.45,-2591.34
47.1,-147.6,-2594.48
47.85,-156.3,-2592.55
45.45,-161.4,-2587.71
39.75,-156.15,-2604.16
40.65,-156.3,-2587.46
42,-155.4,-2583.59
39.15,-159.6,-2614.08
40.05,-156.15,-2589.64
48.6,-152.4,-2586.5
43.05,-167.1,-2593.27
46.65,-156.15,-2606.82
45.15,-149.85,-2588.92
33.6,-155.4,-2603.68
44.55,-160.8,-2604.4
50.7,-159.3,-2595.69
43.95,-157.2,-2592.3
52.35,-144.45,-2599.32
43.35,-161.85,-2578.75
45,-157.2,-2586.74
39,-155.1,-2586.25
48.75,-158.25,-2606.58
46.65,-152.55,-2614.33
46.65,-161.1,-2609.73
35.55,-159.45,-2593.51
38.55,-162,-2575.85
52.5,-164.4,-2587.71
48,-152.25,-2608.03
51.45,-161.55,-2588.67
41.25,-161.25,-2596.66
48.6,-157.8,-2595.21
52.05,-147.3,-2589.4
32.85,-155.4,-2595.21
48.9,-153,-2602.95
41.55,-142.95,-2596.9
40.35,-162.15,-2586.01
52.5,-153.45,-2587.22
47.1,-156.3,-2601.74
45.45,-169.65,-2582.38
45.3,-163.95,-2593.51
48.3,-158.85,-2589.64
44.4,-148.95,-2593.51
40.95,-160.95,-2599.32
40.05,-151.95,-2594.97
48.15,-153.6,-2593.51
40.65,-152.85,-2583.59
43.5,-157.2,-2602.47
48.45,-145.35,-2583.11
54.15,-159,-2600.77
55.2,-155.85,-2596.18
41.7,-159.15,-2594.97
44.55,-151.95,-2594.72
42.3,-152.55,-2587.95
40.95,-153.6,-2608.28
53.25,-155.25,-2589.4
52.95,-156.3,-2584.56
41.7,-151.8,-2599.08
42,-162.75,-2591.34
49.95,-160.2,-2590.61
44.1,-152.4,-2576.57
47.1,-162.45,-2605.86
48,-159.9,-2587.22
47.55,-163.2,-2594.97
46.2,-155.4,-2587.22
44.55,-151.5,-2589.4
40.2,-145.5,-2593.76
40.35,-158.1,-2591.09
42.9,-156.6,-2591.09
39.45,-161.4,-2595.45
42.6,-164.1,-2599.81
45.15,-151.65,-2578.27
54.3,-153.45,-2592.06
40.95,-152.7,-2585.77
46.2,-155.85,-2609.73
48.45,-158.1,-2585.29
57.6,-159.3,-2601.98
43.95,-163.2,-2583.83
52.95,-161.25,-2582.87
39.6,-156.6,-2592.79
40.65,-158.7,-2575.85
51.3,-147,-2602.71
48.3,-157.95,-2587.46
47.1,-147.6,-2590.37
40.35,-159.3,-2583.11
43.8,-150.6,-2596.66
40.2,-159.6,-2591.58
54.3,-158.1,-2596.18
43.95,-153,-2598.11
44.7,-157.35,-2593.76
40.8,-147.6,-2602.71
46.5,-150.9,-2587.46
39.6,-149.25,-2598.6
49.5,-143.4,-2599.56
48.3,-156.15,-2599.32
32.1,-162.6,-2583.83
50.1,-141.6,-2600.53
35.1,-157.35,-2589.64
38.25,-164.55,-2581.17
39.15,-154.05,-2596.18
43.05,-151.65,-2586.98
45,-156.75,-2599.32
46.5,-164.4,-2596.42
43.95,-154.65,-2594.24
41.25,-158.7,-2581.9
37.65,-159.15,-2590.61
36.9,-152.7,-2593.03
48.3,-154.5,-2603.68
46.05,-154.2,-2592.06
45.15,-171.9,-2583.35
41.85,-152.1,-2588.43
50.55,-159.3,-2595.21
45.15,-151.95,-2601.26
43.95,-157.35,-2585.29
46.2,-160.2,-2586.25
55.05,-154.35,-2594
46.2,-145.95,-2591.82
40.35,-157.2,-2591.09
37.05,-161.1,-2583.35
40.5,-154.8,-2585.53
35.1,-156.3,-2592.79
48.45,-152.4,-2597.14
57,-167.7,-2578.99
52.8,-162.15,-2600.29
36,-148.2,-2590.85
49.5,-148.65,-2584.8
47.1,-169.95,-2591.58
48,-163.95,-2594.72
44.4,-169.05,-2595.69
48.9,-153,-2581.9
41.25,-157.95,-2590.61
40.35,-166.95,-2589.4
49.5,-154.5,-2605.13
48.75,-159.9,-2600.77
49.2,-159,-2595.69
47.85,-157.2,-2589.16
49.95,-160.35,-2586.01
36,-157.05,-2579.72
52.2,-167.7,-2597.14
52.2,-155.1,-2596.9
37.35,-168.3,-2585.29
34.35,-159.6,-2600.05
43.35,-145.95,-2581.9
35.85,-154.2,-2592.79
41.25,-158.4,-2606.58
42.45,-151.95,-2596.9
32.85,-158.25,-2588.19
40.95,-154.2,-2593.51
40.8,-150.15,-2598.6
45.15,-163.95,-2585.04
49.8,-152.55,-2585.29
50.85,-166.35,-2597.63
38.1,-151.8,-2594.72
50.7,-161.55,-2592.55
46.8,-157.35,-2575.61
51.15,-159.9,-2594.72
41.1,-145.5,-2602.23
44.55,-158.1,-2590.13
40.95,-154.5,-2581.41
40.35,-157.5,-2602.71
49.95,-157.35,-2569.31
47.85,-154.2,-2594.24
48.3,-156.15,-2594.24
45.6,-142.95,-2579.96
38.4,-165.75,-2595.69
