x1,y1,z1
-70.05,-116.1,-3059.12
-61.05,-141.75,-3051.86
-63.3,-132,-3044.84
-78,-133.95,-3054.52
-74.85,-132.15,-3046.3
-74.7,-134.85,-3055.98
-57.75,-142.8,-3041.21
-63.75,-137.25,-3036.13
-76.8,-137.85,-3051.62
-76.95,-144.3,-3048.72
-65.4,-131.4,-3034.92
-70.2,-142.65,-3053.07
-74.1,-140.85,-3051.14
-74.1,-139.8,-3063.48
-65.25,-139.2,-3048.96
-73.8,-139.8,-3049.44
-63.75,-143.7,-3047.02
-65.7,-137.7,-3041.94
-73.65,-132.15,-3049.44
-76.05,-135.75,-3055.98
-64.8,-136.95,-3051.86
-66.45,-134.85,-3051.14
-75.6,-139.95,-3052.83
-68.55,-135,-3048.72
-63.3,-140.85,-3046.05
-64.8,-133.35,-3066.14
-68.7,-145.2,-3033.47
-66.45,-129.75,-3046.78
-66.15,-132.3,-3048.72
-63.45,-137.1,-3055.01
-67.05,-134.7,-3058.88
-68.1,-139.05,-3044.84
-56.7,-139.05,-3055.25
-70.2,-133.2,-3047.02
-64.95,-140.7,-3065.41
-76.35,-131.7,-3049.2
-74.7,-130.05,-3051.62
-73.05,-135.15,-3040
-71.4,-133.35,-3076.3
-75.45,-133.8,-3040
-56.55,-135.6,-3045.09
-68.85,-128.7,-3044.6
-67.05,-134.25,-3044.84
-71.55,-145.2,-3051.14
-63.9,-140.55,-3050.89
-62.85,-133.65,-3050.89
-72.9,-134.55,-3048.72
-67.5,-141.75,-3046.05
-85.95,-135.6,-3047.99
-72.9,-141.45,-3057.19
-61.95,-143.1,-3039.76
-75.3,-133.95,-3049.68
-78.3,-135.45,-3035.41
-73.35,-137.7,-3051.14
-63,-138.75,-3059.61
-64.65,-138.45,-3065.41
-74.85,-145.05,-3040
-61.95,-136.2,-3053.56
-75,-133.35,-3054.77
-69.15,-134.1,-3053.56
-64.65,-135.6,-3053.56
-69,-136.65,-3053.07
-59.1,-137.1,-3058.4
-62.7,-144,-3046.54
-60.6,-145.35,-3051.62
-66.15,-139.8,-3053.31
-60.15,-124.65,-3047.51
-60.6,-130.05,-3052.59
-78.15,-134.25,-3032.74
-65.55,-145.05,-3057.67
-65.1,-131.1,-3042.42
-65.55,-131.25,-3048.72
-60.45,-135.75,-3049.93
