x1,y1,z1
-43.65,-146.25,-3040
-48.45,-155.4,-3040
-48.75,-151.2,-3043.15
-36.75,-137.55,-3026.69
-37.05,-144.45,-3040.49
-48.15,-147,-3034.92
-51.6,-144.75,-3038.55
-46.35,-147.75,-3045.33
-57.9,-150.3,-3046.3
-56.7,-142.65,-3036.13
-57.45,-148.35,-3038.31
-49.35,-151.5,-3021.61
-49.35,-141.75,-3033.95
-52.05,-142.05,-3035.65
-42.9,-152.25,-3041.21
-53.25,-146.55,-3037.1
-51.6,-147.45,-3040.49
-51.75,-143.85,-3034.2
-47.85,-144.9,-3047.99
-53.25,-145.65,-3028.63
-38.25,-150.9,-3036.37
-45.15,-138.9,-3032.26
-50.25,-147.15,-3049.44
-56.25,-141.75,-3044.36
-46.8,-155.1,-3036.37
-43.95,-148.8,-3036.62
-46.05,-143.1,-3032.5
-43.5,-145.5,-3055.98
-56.55,-145.35,-3041.94
-48.6,-152.4,-3039.04
-40.35,-146.85,-3050.41
-51.3,-142.2,-3039.04
-58.05,-152.1,-3033.47
-50.85,-151.5,-3040.73
-51.45,-145.2,-3040.97
-54.6,-139.5,-3010.48
-48.75,-142.35,-3044.12
-41.55,-144.15,-3034.44
-54.6,-149.85,-3052.83
-49.95,-140.1,-3044.6
-53.4,-142.2,-3040.73
-52.05,-145.2,-3030.81
-36.6,-145.35,-3023.31
-48.75,-145.35,-3029.11
-55.8,-140.25,-3032.74
-47.55,-142.65,-3031.29
-48.3,-146.4,-3038.79
-40.65,-136.5,-3032.99
-50.1,-145.95,-3039.04
-52.65,-148.05,-3036.13
-48.15,-142.35,-3044.6
-50.7,-136.05,-3047.99
-56.25,-147.9,-3034.68
-54.45,-150.15,-3050.41
-54.15,-148.8,-3037.1
-54.9,-151.35,-3047.75
-46.95,-144.75,-3043.39
-56.55,-147.75,-3050.41
-39,-145.2,-3036.62
-55.05,-140.4,-3041.21
-44.4,-143.25,-3042.67
-46.65,-152.4,-3039.52
-51.45,-145.8,-3045.33
-54.6,-137.1,-3032.99
-44.7,-150.45,-3037.58
-50.55,-150.6,-3036.37
-46.95,-138.9,-3041.46
-50.25,-144.6,-3037.1
-52.5,-144,-3038.07
-37.35,-152.55,-3038.07
-53.1,-152.1,-3046.3
-48.6,-149.1,-3049.2
-47.7,-143.7,-3046.54
-48.45,-153.15,-3041.7
-53.25,-148.05,-3045.33
-45.6,-151.95,-3056.46
-56.7,-140.55,-3045.33
-53.4,-148.35,-3049.93
-45.3,-153.15,-3039.76
-48,-135.15,-3032.74
-44.55,-135.9,-3035.16
-49.65,-144.6,-3042.67
-40.35,-147.9,-3035.41
-43.35,-146.55,-3045.81
-48.9,-142.65,-3040.97
-47.7,-148.8,-3030.57
-50.7,-150.3,-3046.05
-55.05,-142.5,-3039.04
-43.5,-146.7,-3049.44
-47.25,-145.65,-3040.97
-38.1,-142.05,-3038.07
-40.95,-154.8,-3037.1
-47.85,-145.5,-3059.12
-54.75,-139.65,-3035.41
-60.9,-145.65,-3034.44
-55.35,-133.95,-3037.83
-52.05,-155.25,-3037.34
-54.3,-154.65,-3055.01
-45.9,-150.75,-3022.58
-58.95,-151.05,-3025.48
-41.25,-140.4,-3034.44
-51.3,-144.15,-3038.55
-51.9,-144.9,-3049.93
-50.25,-135.3,-3026.94
-47.85,-129.15,-3042.42
-43.8,-148.65,-3038.79
-55.8,-142.35,-3046.05
-49.95,-141.45,-3036.86
-47.85,-153.3,-3039.76
-41.55,-143.1,-3027.9
-50.85,-145.5,-3032.26
-54.9,-147.3,-3047.26
-46.5,-139.05,-3031.05
-46.8,-139.65,-3037.1
-55.35,-135.15,-3041.21
-52.05,-154.05,-3027.42
-52.65,-150.75,-3045.57
-59.1,-147.75,-3032.02
-57.3,-140.1,-3040.73
-54.45,-141.15,-3053.07
-59.1,-144,-3050.41
-58.05,-134.1,-3036.13
-46.65,-144.3,-3044.6
-45.45,-147.3,-3044.12
-57.15,-145.2,-3043.39
-43.2,-152.4,-3039.28
-50.55,-147,-3027.18
-48.75,-142.2,-3035.65
-48.75,-143.1,-3036.86
-51,-145.8,-3030.08
-52.65,-148.35,-3029.6
-49.95,-145.35,-3032.74
-40.35,-141.9,-3030.57
-47.85,-147,-3055.73
-49.65,-141.15,-3039.28
-62.55,-143.55,-3027.18
-41.4,-147,-3031.53
-44.25,-149.4,-3044.36
-43.2,-139.65,-3045.09
-56.25,-145.5,-3043.39
-58.5,-135,-3032.26
-47.7,-138.9,-3045.57
-55.05,-146.55,-3035.65
-55.2,-153,-3034.92
-40.95,-146.1,-3040.25
-52.65,-148.5,-3048.23
-43.2,-148.2,-3033.47
-54.6,-139.35,-3042.67
-40.05,-148.8,-3046.78
-54.6,-141.45,-3041.7
-37.95,-156.3,-3035.41
-48.9,-146.1,-3041.21
-56.1,-138,-3046.54
-56.4,-144.45,-3039.28
-54.9,-136.2,-3036.86
-46.95,-153.75,-3032.5
-56.55,-146.1,-3035.16
-52.2,-142.35,-3037.1
-49.5,-152.7,-3037.34
-48.9,-154.05,-3032.26
-34.95,-142.65,-3037.1
-45.45,-147,-3033.23
-53.1,-136.65,-3037.1
-51.3,-144.6,-3034.44
-50.4,-144.45,-3024.52
-57,-148.35,-3044.12
-48.3,-155.85,-3046.78
-47.1,-152.4,-3033.23
-40.05,-153.3,-3048.72
-53.1,-145.95,-3036.62
-49.8,-141.75,-3020.4
-46.35,-153.3,-3041.7
-40.05,-150.15,-3026.45
-41.4,-152.55,-3016.05
-42.75,-144.75,-3048.47
-50.4,-154.2,-3045.57
-46.8,-137.7,-3028.15
-47.55,-153.3,-3034.2
-48.45,-140.55,-3039.52
-47.4,-138.15,-3028.87
-46.35,-136.95,-3035.89
-42.3,-142.8,-3029.84
-54.15,-141.45,-3029.11
-47.25,-137.4,-3034.2
